title,measure,dwa_id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
Position construction forms or molds.,,,,,,,,,,,,,,,,
Build construction forms or molds.,,,,,,,,,,,,,,,,
Perform housekeeping duties.,,,,,,,,,,,,,,,,
"Select tools, equipment, or technologies for use in operations or projects.",,,,,,,,,,,,,,,,
Prepare forms or applications.,,,,,,,,,,,,,,,,
Read documents to gather technical information.,,,,,,,,,,,,,,,,
"Calculate weights, volumes or other characteristics of materials.",,,,,,,,,,,,,,,,
Calculate financial data.,,,,,,,,,,,,,,,,
Use weapons or physical force to maintain security.,,,,,,,,,,,,,,,,
Participate in physical training to maintain fitness.,,,,,,,,,,,,,,,,
Provide information to coworkers.,,,,,,,,,,,,,,,,
Confer with coworkers to coordinate maintenance or cleaning activities.,,,,,,,,,,,,,,,,
Operate heavy-duty construction or installation equipment.,,,,,,,,,,,,,,,,
Repair electrical circuits or wiring.,,,,,,,,,,,,,,,,
Repair electrical equipment.,,,,,,,,,,,,,,,,
Analyze shipping information to make routing decisions.,,,,,,,,,,,,,,,,
Supervise maintenance workers.,,,,,,,,,,,,,,,,
Direct activities of subordinates.,,,,,,,,,,,,,,,,
"Document events or evidence, using photographic or audiovisual equipment.",,,,,,,,,,,,,,,,
Relay information about incidents or emergencies to personnel using phones or two-way radios.,,,,,,,,,,,,,,,,
Direct activities of subordinates.,,,,,,,,,,,,,,,,
Verify mathematical calculations.,,,,,,,,,,,,,,,,
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,,,,,,,,,,,,,,,,
Apply mathematical models of financial or business conditions,,,,,,,,,,,,,,,,
Review art or design materials.,DWA from ONET,4.A.1.a.1.I01.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study details of musical compositions.,DWA from ONET,4.A.1.a.1.I01.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review production information to determine costume or makeup requirements.,DWA from ONET,4.A.1.a.1.I01.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study scripts to determine project requirements.,DWA from ONET,4.A.1.a.1.I01.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read materials to determine needed actions.,DWA from ONET,4.A.1.a.1.I02.D01,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.2236068,0,0,0,0,0,0,0
Read maps to determine routes.,DWA from ONET,4.A.1.a.1.I02.D02,0.1889822,0.3535534,0.25,0.3535534,0.3535534,0.3535534,0.25,0,0,0,0,0,0,0
Review customer information.,DWA from ONET,4.A.1.a.1.I02.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read work orders or other instructions to determine product specifications or materials requirements.,DWA from ONET,4.A.1.a.1.I02.D04,0.2519763,0.2357023,0.1666667,0.4714045,0.2357023,0.2357023,0.1666667,0,0.1259882,0,0,0,0,0
Read technical information needed to perform maintenance or repairs.,DWA from ONET,4.A.1.a.1.I02.D05,0.1428571,0.2672612,0.1889822,0.2672612,0.2672612,0.2672612,0.1889822,0,0,0,0,0,0.2182179,0
