Element Name,IWA Title,DWA Title
Getting Information,Study details of artistic productions.,Review art or design materials.
Getting Information,Study details of artistic productions.,Study details of musical compositions.
Getting Information,Study details of artistic productions.,Review production information to determine costume or makeup requirements.
Getting Information,Study details of artistic productions.,Study scripts to determine project requirements.
Getting Information,Read documents or materials to inform work processes.,Read materials to determine needed actions.
Getting Information,Read documents or materials to inform work processes.,Read maps to determine routes.
Getting Information,Read documents or materials to inform work processes.,Review customer information.
Getting Information,Read documents or materials to inform work processes.,Read work orders or other instructions to determine product specifications or materials requirements.
Getting Information,Read documents or materials to inform work processes.,Read technical information needed to perform maintenance or repairs.
Getting Information,Read documents or materials to inform work processes.,Study blueprints or other instructions to determine equipment setup requirements.
Getting Information,Read documents or materials to inform work processes.,Read documents to gather technical information.
Getting Information,Read documents or materials to inform work processes.,Review technical documents to plan work.
Getting Information,Read documents or materials to inform work processes.,Review blueprints or specifications to determine work requirements.
Getting Information,Read documents or materials to inform work processes.,Review work orders or schedules to determine operations or procedures.
Getting Information,Read documents or materials to inform work processes.,Review blueprints or other instructions to determine operational methods or sequences.
Getting Information,Read documents or materials to inform work processes.,Evaluate reports or designs to determine work needs.
Getting Information,Read documents or materials to inform work processes.,Read work orders or descriptions of problems to determine repairs or modifications needed.
Getting Information,Read documents or materials to inform work processes.,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."
Getting Information,Read documents or materials to inform work processes.,Review details of technical drawings or specifications.
Getting Information,Read documents or materials to inform work processes.,Read work orders to determine material or setup requirements.
Getting Information,Investigate criminal or legal matters.,Collect evidence for legal proceedings.
Getting Information,Investigate criminal or legal matters.,Examine crime scenes to obtain evidence.
Getting Information,Investigate criminal or legal matters.,Investigate crimes committed within organizations.
Getting Information,Investigate criminal or legal matters.,Investigate legal issues.
Getting Information,Investigate criminal or legal matters.,Examine records or other types of data to investigate criminal activities.
Getting Information,Investigate criminal or legal matters.,Conduct hearings to investigate legal issues.
Getting Information,Investigate criminal or legal matters.,Investigate illegal or suspicious activities.
Getting Information,Gather information from physical or electronic sources.,Obtain property information.
Getting Information,Gather information from physical or electronic sources.,Use databases to locate investigation details or other information.
Getting Information,Gather information from physical or electronic sources.,Search information sources to find specific data.
Getting Information,Gather information from physical or electronic sources.,Gather financial records.
Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.
Getting Information,Gather information from physical or electronic sources.,Gather information in order to provide services to clients.
Getting Information,Gather information from physical or electronic sources.,"Search files, databases or reference materials to obtain needed information."
Getting Information,Gather information from physical or electronic sources.,Collect archival data.
Getting Information,Consult legal materials or public records.,Evaluate information related to legal matters in public or personal records.
Getting Information,Consult legal materials or public records.,Research relevant legal materials to aid decision making.
Getting Information,Gather data about operational or development activities.,Gather organizational performance information.
Getting Information,Gather data about operational or development activities.,Gather information about work conditions or locations.
Getting Information,Gather data about operational or development activities.,Gather physical survey data.
Getting Information,Gather data about operational or development activities.,Collect data about project sites.
Getting Information,Obtain information about goods or services.,Obtain information about goods or services.
Getting Information,Research issues related to earth sciences.,Research hydrologic features or processes.
Getting Information,Research issues related to earth sciences.,Research geological features or processes.
Getting Information,Research issues related to earth sciences.,Conduct climatological research.
Getting Information,"Research organizational behavior, processes, or performance.",Conduct surveys in organizations.
Getting Information,"Research organizational behavior, processes, or performance.",Research industrial processes or operations.
Getting Information,"Research organizational behavior, processes, or performance.",Conduct scientific research of organizational behavior or processes.
Getting Information,Investigate the environmental impact of industrial or development activities.,Research impacts of environmental conservation initiatives.
Getting Information,Investigate the environmental impact of industrial or development activities.,Research issues related to the environment or sustainable business practices.
Getting Information,Investigate the environmental impact of industrial or development activities.,Investigate the environmental impact of projects.
Getting Information,Investigate the environmental impact of industrial or development activities.,Monitor environmental impacts of production or development activities.
Getting Information,Investigate the environmental impact of industrial or development activities.,Research environmental impact of industrial or development activities.
Getting Information,Investigate the environmental impact of industrial or development activities.,Identify environmental concerns.
Getting Information,Investigate the environmental impact of industrial or development activities.,Evaluate environmental impact of operational or development activities.
Getting Information,Gather information for news stories.,Gather information for news stories.
Getting Information,Collect information about patients or clients.,Gather medical information from patient histories.
Getting Information,Collect information about patients or clients.,"Collect medical information from patients, family members, or other medical professionals."
Getting Information,Collect information about patients or clients.,"Collect information from people through observation, interviews, or surveys."
