Review art or design materials.,DWA from ONET,4.A.1.a.1.I01.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0
Study details of musical compositions.,DWA from ONET,4.A.1.a.1.I01.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review production information to determine costume or makeup requirements.,DWA from ONET,4.A.1.a.1.I01.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1195229,0,0,0,0,0,0,0
Study scripts to determine project requirements.,DWA from ONET,4.A.1.a.1.I01.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read materials to determine needed actions.,DWA from ONET,4.A.1.a.1.I02.D01,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read maps to determine routes.,DWA from ONET,4.A.1.a.1.I02.D02,0.1889822,0.3535534,0.25,0.3535534,0.3535534,0.3535534,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review customer information.,DWA from ONET,4.A.1.a.1.I02.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2581989,0.2357023,0,0,0,0,0.1825742,0,0,0,0,0,0,0
Read work orders or other instructions to determine product specifications or materials requirements.,DWA from ONET,4.A.1.a.1.I02.D04,0.2519763,0.2357023,0.1666667,0.4714045,0.2357023,0.2357023,0.1666667,0,0.1259882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808452,0,0,0.1490712,0.2108185,0,0,0,0,0.1666667
Read technical information needed to perform maintenance or repairs.,DWA from ONET,4.A.1.a.1.I02.D05,0.1428571,0.2672612,0.1889822,0.2672612,0.2672612,0.2672612,0.1889822,0,0,0,0,0,0.2182179,0,0,0,0,0,0,0,0,0.1889822,0.0916699,0,0.1195229,0,0,0,0,0,0,0
Study blueprints or other instructions to determine equipment setup requirements.,DWA from ONET,4.A.1.a.1.I02.D06,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0.1889822,0.0916699,0,0,0,0.1195229,0,0,0,0,0
Read documents to gather technical information.,DWA from ONET,4.A.1.a.1.I02.D07,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.4472136,0,0,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1414214,0,0,0,0,0,0,0
Review technical documents to plan work.,DWA from ONET,4.A.1.a.1.I02.D08,0,0,0,0,0,0,0.2236068,0,0,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0.1084652,0.1118034,0,0.2,0.1414214,0,0,0,0,0.2236068
Review blueprints or specifications to determine work requirements.,DWA from ONET,4.A.1.a.1.I02.D09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990148,0,0,0.1825742,0.1290994,0,0,0,0,0.2041242
Review work orders or schedules to determine operations or procedures.,DWA from ONET,4.A.1.a.1.I02.D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1889822,0,0,0,0,0.1833397,0,0,0.1690308,0.2390457,0,0,0,0,0.1889822
Review blueprints or other instructions to determine operational methods or sequences.,DWA from ONET,4.A.1.a.1.I02.D11,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0.1889822,0,0,0,0,0.0916699,0,0,0,0.1195229,0,0,0,0,0
Evaluate reports or designs to determine work needs.,DWA from ONET,4.A.1.a.1.I02.D12,0,0,0,0,0,0.2886751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990148,0.1020621,0,0.1825742,0.1290994,0,0,0,0,0.2041242
Read work orders or descriptions of problems to determine repairs or modifications needed.,DWA from ONET,4.A.1.a.1.I02.D13,0.1259882,0.2357023,0.1666667,0.2357023,0.2357023,0.2357023,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.1616904,0.0833333,0,0.1490712,0.1054093,0,0,0,0,0.1666667
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",DWA from ONET,4.A.1.a.1.I02.D14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0.0808452,0,0.1054093,0,0,0,0,0,0,0
Review details of technical drawings or specifications.,DWA from ONET,4.A.1.a.1.I02.D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read work orders to determine material or setup requirements.,DWA from ONET,4.A.1.a.1.I02.D16,0.1428571,0.2672612,0.1889822,0.2672612,0.2672612,0.2672612,0.1889822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916699,0,0,0.1690308,0.1195229,0,0,0,0,0.1889822
Collect evidence for legal proceedings.,DWA from ONET,4.A.1.a.1.I03.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Examine crime scenes to obtain evidence.,DWA from ONET,4.A.1.a.1.I03.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate crimes committed within organizations.,DWA from ONET,4.A.1.a.1.I03.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate legal issues.,DWA from ONET,4.A.1.a.1.I03.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Examine records or other types of data to investigate criminal activities.,DWA from ONET,4.A.1.a.1.I03.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct hearings to investigate legal issues.,DWA from ONET,4.A.1.a.1.I03.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigate illegal or suspicious activities.,DWA from ONET,4.A.1.a.1.I03.D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obtain property information.,DWA from ONET,4.A.1.a.1.I04.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825742,0,0,0,0,0,0,0
Use databases to locate investigation details or other information.,DWA from ONET,4.A.1.a.1.I04.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825742,0.1666667,0,0,0,0,0,0,0,0,0,0.1290994,0,0,0,0,0.1543034,0.2886751,0.2041242
Search information sources to find specific data.,DWA from ONET,4.A.1.a.1.I04.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1290994,0,0,0,0,0,0,0
Gather financial records.,DWA from ONET,4.A.1.a.1.I04.D04,0,0,0.2886751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retrieve information from electronic sources.,DWA from ONET,4.A.1.a.1.I04.D05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.1581139,0,0,0,0,0,0,0
Gather information in order to provide services to clients.,DWA from ONET,4.A.1.a.1.I04.D06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825742,0.1666667,0,0,0,0,0.3872983,0,0,0,0,0,0,0
"Search files, databases or reference materials to obtain needed information.",DWA from ONET,4.A.1.a.1.I04.D07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1118034,0,0,0,0,0,0,0
Collect archival data.,DWA from ONET,4.A.1.a.1.I04.D08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluate information related to legal matters in public or personal records.,DWA from ONET,4.A.1.a.1.I05.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1581139,0.1443376,0,0,0,0,0.1118034,0,0,0,0,0,0,0
Research relevant legal materials to aid decision making.,DWA from ONET,4.A.1.a.1.I05.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944911,0.1195229,0,0,0,0,0,0,0
Gather organizational performance information.,DWA from ONET,4.A.1.a.1.I06.D01,0,0,0,0,0,0,0,0,0,0,0,0,0.2886751,0,0,0,0,0,0,0,0,0,0,0,0.1581139,0,0,0,0,0,0,0
Gather information about work conditions or locations.,DWA from ONET,4.A.1.a.1.I06.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1084652,0,0.1414214,0.2,0.1414214,0,0,0,0,0.2236068
