Review art or design materials.,Getting Information Study details of artistic productions. Review art or design materials.,DWA from ONET,4.A.1.a.1.I01.D01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0
Study details of musical compositions.,Getting Information Study details of artistic productions. Study details of musical compositions.,DWA from ONET,4.A.1.a.1.I01.D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review production information to determine costume or makeup requirements.,Getting Information Study details of artistic productions. Review production information to determine costume or makeup requirements.,DWA from ONET,4.A.1.a.1.I01.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1195229,0,0,0,0,0,0,0
Study scripts to determine project requirements.,Getting Information Study details of artistic productions. Study scripts to determine project requirements.,DWA from ONET,4.A.1.a.1.I01.D04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read materials to determine needed actions.,Getting Information Read documents or materials to inform work processes. Read materials to determine needed actions.,DWA from ONET,4.A.1.a.1.I02.D01,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read maps to determine routes.,Getting Information Read documents or materials to inform work processes. Read maps to determine routes.,DWA from ONET,4.A.1.a.1.I02.D02,0.1889822,0.3535534,0.25,0.3535534,0.3535534,0.3535534,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review customer information.,Getting Information Read documents or materials to inform work processes. Review customer information.,DWA from ONET,4.A.1.a.1.I02.D03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2581989,0.2357023,0,0,0,0,0.1825742,0,0,0,0,0,0,0
Read work orders or other instructions to determine product specifications or materials requirements.,Getting Information Read documents or materials to inform work processes. Read work orders or other instructions to determine product specifications or materials requirements.,DWA from ONET,4.A.1.a.1.I02.D04,0.2519763,0.2357023,0.1666667,0.4714045,0.2357023,0.2357023,0.1666667,0,0.1259882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808452,0,0,0.1490712,0.2108185,0,0,0,0,0.1666667
Read technical information needed to perform maintenance or repairs.,Getting Information Read documents or materials to inform work processes. Read technical information needed to perform maintenance or repairs.,DWA from ONET,4.A.1.a.1.I02.D05,0.1428571,0.2672612,0.1889822,0.2672612,0.2672612,0.2672612,0.1889822,0,0,0,0,0,0.2182179,0,0,0,0,0,0,0,0,0.1889822,0.0916699,0,0.1195229,0,0,0,0,0,0,0
Study blueprints or other instructions to determine equipment setup requirements.,Getting Information Read documents or materials to inform work processes. Study blueprints or other instructions to determine equipment setup requirements.,DWA from ONET,4.A.1.a.1.I02.D06,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0.1889822,0.0916699,0,0,0,0.1195229,0,0,0,0,0
Read documents to gather technical information.,Getting Information Read documents or materials to inform work processes. Read documents to gather technical information.,DWA from ONET,4.A.1.a.1.I02.D07,0.1690308,0.3162278,0.2236068,0.3162278,0.3162278,0.3162278,0.4472136,0,0,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1414214,0,0,0,0,0,0,0
Review technical documents to plan work.,Getting Information Read documents or materials to inform work processes. Review technical documents to plan work.,DWA from ONET,4.A.1.a.1.I02.D08,0,0,0,0,0,0,0.2236068,0,0,0.2236068,0,0,0,0,0,0,0,0,0,0,0,0,0.1084652,0.1118034,0,0.2,0.1414214,0,0,0,0,0.2236068
Review blueprints or specifications to determine work requirements.,Getting Information Read documents or materials to inform work processes. Review blueprints or specifications to determine work requirements.,DWA from ONET,4.A.1.a.1.I02.D09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990148,0,0,0.1825742,0.1290994,0,0,0,0,0.2041242
Review work orders or schedules to determine operations or procedures.,Getting Information Read documents or materials to inform work processes. Review work orders or schedules to determine operations or procedures.,DWA from ONET,4.A.1.a.1.I02.D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1889822,0,0,0,0,0.1833397,0,0,0.1690308,0.2390457,0,0,0,0,0.1889822
Review blueprints or other instructions to determine operational methods or sequences.,Getting Information Read documents or materials to inform work processes. Review blueprints or other instructions to determine operational methods or sequences.,DWA from ONET,4.A.1.a.1.I02.D11,0.1428571,0,0,0.2672612,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0.1889822,0,0,0,0,0.0916699,0,0,0,0.1195229,0,0,0,0,0
Evaluate reports or designs to determine work needs.,Getting Information Read documents or materials to inform work processes. Evaluate reports or designs to determine work needs.,DWA from ONET,4.A.1.a.1.I02.D12,0,0,0,0,0,0.2886751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990148,0.1020621,0,0.1825742,0.1290994,0,0,0,0,0.2041242
Read work orders or descriptions of problems to determine repairs or modifications needed.,Getting Information Read documents or materials to inform work processes. Read work orders or descriptions of problems to determine repairs or modifications needed.,DWA from ONET,4.A.1.a.1.I02.D13,0.1259882,0.2357023,0.1666667,0.2357023,0.2357023,0.2357023,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.1616904,0.0833333,0,0.1490712,0.1054093,0,0,0,0,0.1666667
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.","Getting Information Read documents or materials to inform work processes. Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",DWA from ONET,4.A.1.a.1.I02.D14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0.0808452,0,0.1054093,0,0,0,0,0,0,0
Review details of technical drawings or specifications.,Getting Information Read documents or materials to inform work processes. Review details of technical drawings or specifications.,DWA from ONET,4.A.1.a.1.I02.D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
