Answer,read including very short notes or instructions that are only a few sentences long,read forms,read bills or financial statements,read instruction,read books,read reports,size of the longest document that you read,fill out bills or forms,write very short notes lists instructions that are only a few sentences long,what is the longest document that you write wrote,MEASURE OR ESTIMATE SIZES WEIGHTS DISTANCES,CALCULATE PRICES COSTS,PERFORM ANY OTHER MULTIPLICATION OR DIVISION,USE OR CALCULATE FRACTIONS DECIMALS PERCENTAGES,,,,
Position construction forms or molds.,0.59,0.69,0.47,0.37,0.24,0.33,0.64,0.58,0.59,0.62,0.57,0.4,0.54,0.38,,,,
Build construction forms or molds.,0.51,0.69,0.41,0.33,0.22,0.29,0.57,0.58,0.51,0.53,0.5,0.37,0.5,0.33,,,,
Perform housekeeping duties.,0.36,0.16,0.31,0.3,0.11,0.23,0.31,0.25,0.36,0.31,0.3,0.26,0.31,0.18,,,,
"Select tools, equipment, or technologies for use in operations or projects.",0.55,0.4,0.45,0.46,0.28,0.39,0.63,0.42,0.55,0.63,0.53,0.47,0.55,0.33,,,,
Prepare forms or applications.,0.56,0.84,0.48,0.39,0.26,0.39,0.6,0.67,0.56,0.59,0.44,0.34,0.55,0.33,,,,
Read documents to gather technical information.,0.57,0.51,0.57,0.48,0.38,0.57,0.68,0.47,0.57,0.69,0.44,0.4,0.53,0.28,,,,
"Calculate weights, volumes or other characteristics of materials.",0.64,0.55,0.41,0.35,0.4,0.32,0.69,0.47,0.64,0.64,0.7,0.48,0.64,0.55,,,,
Calculate financial data.,0.32,0.31,0.58,0.23,0.13,0.37,0.39,0.34,0.32,0.41,0.39,0.4,0.36,0.33,,,,
Use weapons or physical force to maintain security.,0.54,0.43,0.5,0.37,0.23,0.35,0.56,0.46,0.54,0.57,0.52,0.37,0.55,0.35,,,,
Participate in physical training to maintain fitness.,0.47,0.37,0.34,0.53,0.3,0.28,0.44,0.32,0.47,0.44,0.5,0.32,0.44,0.26,,,,
Provide information to coworkers.,0.49,0.37,0.42,0.32,0.34,0.43,0.5,0.35,0.49,0.55,0.37,0.33,0.47,0.19,,,,
Confer with coworkers to coordinate maintenance or cleaning activities.,0.57,0.41,0.41,0.39,0.23,0.36,0.56,0.41,0.57,0.56,0.53,0.43,0.56,0.38,,,,
Operate heavy-duty construction or installation equipment.,0.5,0.34,0.4,0.35,0.18,0.29,0.54,0.38,0.5,0.51,0.51,0.45,0.45,0.26,,,,
