Answer,read including very short notes or instructions that are only a few sentences long,read forms,read bills or financial statements,read instruction,read books,read reports,size of the longest document that you read,fill out bills or forms,write very short notes lists instructions that are only a few sentences long,what is the longest document that you write wrote,MEASURE OR ESTIMATE SIZES WEIGHTS DISTANCES,CALCULATE PRICES COSTS,PERFORM ANY OTHER MULTIPLICATION OR DIVISION,USE OR CALCULATE FRACTIONS DECIMALS PERCENTAGES,physically demanding,co-operating or collaborating with co-workers,lift or pull anything weighing at least 25 kilos,repair maintain electronic equipment,carrying out short  repetitive tasks,direct and check the work of other workers supervise,"use A TELEPHONE, MOBILE PHONE, PAGER OR OTHER COMMUNICATION DEVICE",freedom to decide how to do your work in your own way rather than following a fixed procedure or a supervisor's instructions,USE MORE ADVANCED MATH ALGEBRA GEOMETRY TRIGONOMETRY,,,,,
Position construction forms or molds.,0.0246226,0.3180926,0.1708971,0.0358086,-0.026104,-0.0001834,-0.0087119,0.448673,-0.0591978,-0.0251021,0.1941759,-0.0205984,0.2310729,0.1614411,0.0367023,0.1418342,0.2064075,0.0039749,0.018468,0.0516119,0.0941598,0.1100663,0.0116894,,,,,
Build construction forms or molds.,0.0563137,0.3653439,0.2225476,0.0262594,0.0327231,0.0354869,0.0019563,0.4941917,-0.042681,-0.0171694,0.1649885,-0.0030781,0.2176914,0.1795219,0.0202272,0.1661038,0.2292198,0.0055769,0.0272065,0.0452363,0.1174921,0.0995558,0.0258625,,,,,
Perform housekeeping duties.,-0.0122643,0.1175281,0.163037,0.1625443,0.1200343,0.1279146,-0.0266398,0.1853743,0.0213089,-0.0508919,0.0399492,0.1171486,0.0710376,0.0805177,0.1926596,0.2007535,0.0933762,0.1702054,0.3313026,0.249022,-0.0271949,0.1725314,0.0535882,,,,,
"Select tools, equipment, or technologies for use in operations or projects.",0.0524061,-0.075823,0.1289363,-0.05151,0.0114375,-0.0104682,0.0102821,0.0851235,-0.0424296,0.0184497,0.1298253,-0.0279109,0.1144244,0.2347753,-0.0547114,0.1796821,0.1604419,0.1154129,0.0576153,0.0173237,0.2691568,0.1632268,0.123039,,,,,
Prepare forms or applications.,0.1122857,0.4156898,0.2562933,0.0921231,0.0294487,0.0633997,0.0070356,0.5840935,0.0411866,0.0233165,0.1616988,0.0498421,0.1776001,0.2187833,0.1330843,0.1011643,0.1506668,-0.0298577,0.120774,0.008293,0.1375616,0.0825851,0.0807974,,,,,
Read documents to gather technical information.,0.2510824,0.2962252,0.2903972,0.3523069,0.3457252,0.3272043,0.4005218,0.1185304,0.1787224,0.2189196,0.0111468,-0.0502192,0.0212526,0.0072586,0.0158853,0.0553657,0.0277549,0.1098837,0.1273042,0.0882606,0.0025982,0.0212515,0.0173198,,,,,
"Calculate weights, volumes or other characteristics of materials.",0.1043864,0.0117172,0.2567896,-0.0037326,0.0222214,0.0134762,0.0670996,0.2272559,0.0347522,-0.0248804,0.3873061,0.1962226,0.3565027,0.3050161,0.1346311,0.0632791,0.3494118,-0.0206751,0.0008291,0.1345486,0.22124,0.0651633,0.1917119,,,,,
Calculate financial data.,-0.0695743,0.0947182,0.4949159,0.054656,0.0371475,0.1183724,0.0439586,0.2488927,-0.0487377,-0.00271,0.0950266,0.3743252,0.0225241,0.2599785,0.0500008,-0.022226,0.0242316,0.0616301,0.0319328,-0.0547681,-0.027388,-0.0651058,0.1937563,,,,,
Use weapons or physical force to maintain security.,0.0160695,-0.004369,0.1310083,-0.0327825,0.0262949,-0.025594,-0.0209332,0.1315249,-0.0632318,-0.0033947,0.2081522,-0.0302831,0.1339998,0.2367602,0.2553763,0.2047601,0.3419905,0.1531746,-0.0004058,0.104266,0.2667825,0.07746,0.1844369,,,,,
Participate in physical training to maintain fitness.,0.0138275,0.1382751,0.063529,0.046804,0.1136422,0.0276321,-0.0222636,0.1344637,0.0098444,-0.0533652,0.1618431,0.0030994,0.0178532,0.0887492,0.2683884,0.1293516,0.2705034,0.1489259,0.1006172,0.1167138,0.0630444,0.0622811,0.0560627,,,,,
